"","name","nurs","doct","state","zone","area","popu"
"3296","Yuli Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3297","Gobirawa Health Clinic",0,0,"Bauchi","Northeast",5913.769484,329424
"3298","Ruga Maternity",0,0,"Bauchi","Northeast",5913.769484,329424
"3299","Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3300","Alkalerin Yelo Primary Health Centre",0,0,"Bauchi","Northeast",5913.769484,329424
"3301","Katarko Health Clinic",0,0,"Bauchi","Northeast",5913.769484,329424
"3302","Gwana Maternity.",0,0,"Bauchi","Northeast",5913.769484,329424
"3303","Duguri PHC",0,0,"Bauchi","Northeast",5913.769484,329424
"3304","Mai‘ari Health Clinic",0,0,"Bauchi","Northeast",5913.769484,329424
"3305","Garin Hamza Primary Health Center",0,0,"Bauchi","Northeast",5913.769484,329424
"3306","Futuk Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3307","Gwaram B Maternity",1,0,"Bauchi","Northeast",5913.769484,329424
"3308","Mundami maternity",0,0,"Bauchi","Northeast",5913.769484,329424
"3309","Gorondo Health center",0,0,"Bauchi","Northeast",5913.769484,329424
"3310","Fanti HC",0,0,"Bauchi","Northeast",5913.769484,329424
"3311","Bajama community health centre",0,0,"Bauchi","Northeast",5913.769484,329424
"3312","Guruntun Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3313","Yalo Health clinic",0,0,"Bauchi","Northeast",5913.769484,329424
"3314","Birim Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3315","Health Post Kunzun",0,0,"Bauchi","Northeast",5913.769484,329424
"3316","Kundak PHC",0,0,"Bauchi","Northeast",5913.769484,329424
"3317","Rimi Maternity",0,0,"Bauchi","Northeast",5913.769484,329424
"3318","Primary Health Centre",0,0,"Bauchi","Northeast",5913.769484,329424
"3319","Rimi Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3320","Mansur Health Clinic",0,0,"Bauchi","Northeast",5913.769484,329424
"3321","Maina Maji Dispensary",0,0,"Bauchi","Northeast",5913.769484,329424
"3322","Dispensary",0,4,"Bauchi","Northeast",5913.769484,329424
"3323","Tau Marternity",0,0,"Bauchi","Northeast",5913.769484,329424
"3325","Garin na Allah",0,0,"Bauchi","Northeast",5913.769484,329424
"3326","Futuk PHC",9,0,"Bauchi","Northeast",5913.769484,329424
"3327","PPFN MCH",2,0,"Bauchi","Northeast",3685.260294,493810
"3328","Yy",2,1,"Bauchi","Northeast",3685.260294,493810
"3329","Mch",0,0,"Bauchi","Northeast",3685.260294,493810
"3330","Dungal Dispensary.",0,0,"Bauchi","Northeast",3685.260294,493810
"3331","Beru Maternity",0,0,"Bauchi","Northeast",3685.260294,493810
"3332","Zango PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3333","Phc",2,0,"Bauchi","Northeast",3685.260294,493810
"3334","Kobi dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3336","MCH wuntin Dada",1,0,"Bauchi","Northeast",3685.260294,493810
"3337","Yamrat Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3338","Yandure disp",0,0,"Bauchi","Northeast",3685.260294,493810
"3339","Mch Yalwan kudum",0,0,"Bauchi","Northeast",3685.260294,493810
"3340","Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3341","Gamawa Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3342","Hammadada Dispesary",0,0,"Bauchi","Northeast",3685.260294,493810
"3343","Kofar Dumi Maternity",0,0,"Bauchi","Northeast",3685.260294,493810
"3344","Adabda dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3345","Lekka Maternity",0,0,"Bauchi","Northeast",3685.260294,493810
"3346","Dindima Despensery",0,0,"Bauchi","Northeast",3685.260294,493810
"3347","Maternity",0,0,"Bauchi","Northeast",3685.260294,493810
"3348","Mararraban L/K PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3349","City specialist clinic",4,2,"Bauchi","Northeast",3685.260294,493810
"3350","Balanshi PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3351","Phc",0,0,"Bauchi","Northeast",3685.260294,493810
"3353","Mun Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3354","Unguwar Falke Disp.",0,0,"Bauchi","Northeast",3685.260294,493810
"3355","Giraka Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3356","Dispensery",0,0,"Bauchi","Northeast",3685.260294,493810
"3357","Phc",0,0,"Bauchi","Northeast",3685.260294,493810
"3358","Zungur P H C",0,0,"Bauchi","Northeast",3685.260294,493810
"3359","Rimin Jahun Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3360","Gwambe Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3361","X",3,0,"Bauchi","Northeast",3685.260294,493810
"3362","Buzaye Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3363","Mummusal Dispesary",0,0,"Bauchi","Northeast",3685.260294,493810
"3364","Phc Doya",0,0,"Bauchi","Northeast",3685.260294,493810
"3365","Goso Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3366","Kainuwa",1,1,"Bauchi","Northeast",3685.260294,493810
"3367","Coprehensive health center Tashan Babiye",6,1,"Bauchi","Northeast",3685.260294,493810
"3368","MPH Centre Gurbana",0,0,"Bauchi","Northeast",3685.260294,493810
"3369","Yola Doka Dispensary.",0,0,"Bauchi","Northeast",3685.260294,493810
"3371","Gwaskwaram PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3372","Tashan Babaye",0,0,"Bauchi","Northeast",3685.260294,493810
"3373","Galambi dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3374","Lushi dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3375","Kofar Dumi PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3376","Mch wuntin dada",0,1,"Bauchi","Northeast",3685.260294,493810
"3377","Durun PHC",3,0,"Bauchi","Northeast",3685.260294,493810
"3378","Dumin Zungur Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3379","Town maternity",0,0,"Bauchi","Northeast",3685.260294,493810
"3380","Mch",0,0,"Bauchi","Northeast",3685.260294,493810
"3381","Yalwa clinic Maternity",1,1,"Bauchi","Northeast",3685.260294,493810
"3382","Al wadata clinic",7,6,"Bauchi","Northeast",3685.260294,493810
"3383","Mch",0,0,"Bauchi","Northeast",3685.260294,493810
"3384","Midi Maternity",1,0,"Bauchi","Northeast",3685.260294,493810
"3385","Unguwar mahaukata dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3386","Tirwun msyrtnitu",0,0,"Bauchi","Northeast",3685.260294,493810
"3387","Unguwan Dashi Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3388","Dan Dango Primary Health Centre.",0,0,"Bauchi","Northeast",3685.260294,493810
"3389","Yelwa.kagadma.healtj",1,0,"Bauchi","Northeast",3685.260294,493810
"3390","Kusi PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3391","Mch",0,0,"Bauchi","Northeast",3685.260294,493810
"3392","Rijiyan Malam Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3393","Luda P H C",1,0,"Bauchi","Northeast",3685.260294,493810
"3394","Under 5 clinic",3,0,"Bauchi","Northeast",3685.260294,493810
"3395","Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3396","H",0,0,"Bauchi","Northeast",3685.260294,493810
"3397","PHC Tudun Gambo",0,0,"Bauchi","Northeast",3685.260294,493810
"3398","Shafa primary health clinic",0,0,"Bauchi","Northeast",3685.260294,493810
"3399","Atbu t
H",250,150,"Bauchi","Northeast",3685.260294,493810
"3400","Fed. Low cost PHC",0,0,"Bauchi","Northeast",3685.260294,493810
"3401","Palekon clinic",4,1,"Bauchi","Northeast",3685.260294,493810
"3402","KUSADA DISPENSARY",0,0,"Bauchi","Northeast",3685.260294,493810
"3403","GUNGU DISPENSARY",0,0,"Bauchi","Northeast",3685.260294,493810
"3404","School of Armour Clinic",0,1,"Bauchi","Northeast",3685.260294,493810
"3405","Kudun Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3406","Gwaskwaram PH clinic",0,0,"Bauchi","Northeast",3685.260294,493810
"3407","Reemee",7,2,"Bauchi","Northeast",3685.260294,493810
"3408","Urban matanity",3,5,"Bauchi","Northeast",3685.260294,493810
"3409","Dawaki phc",0,0,"Bauchi","Northeast",3685.260294,493810
"3410","Mch yelwa domiscilary clinic",0,0,"Bauchi","Northeast",3685.260294,493810
"3411","PHC Kangere",0,0,"Bauchi","Northeast",3685.260294,493810
"3412","Dispensery",0,0,"Bauchi","Northeast",3685.260294,493810
"3413","Palla Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3415","M C H TIRWUN",0,0,"Bauchi","Northeast",3685.260294,493810
"3416","Bishi Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3417","Specialist Hospital",15,10,"Bauchi","Northeast",3685.260294,493810
"3418","PHC",1,1,"Bauchi","Northeast",3685.260294,493810
"3420","Psc",5,1,"Bauchi","Northeast",3685.260294,493810
"3421","Jalingo Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3423","Badakoshi primary school",0,0,"Bauchi","Northeast",3685.260294,493810
"3424","Kir Maternity Child Health.",0,0,"Bauchi","Northeast",3685.260294,493810
"3425","Kadage dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3426","Rumba Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3427","State low cost phc",1,0,"Bauchi","Northeast",3685.260294,493810
"3428","Makama (B) Maternity",0,1,"Bauchi","Northeast",3685.260294,493810
"3429","Jamda Dispensary",0,0,"Bauchi","Northeast",3685.260294,493810
"3430","Juwara MCH",0,0,"Bauchi","Northeast",3685.260294,493810
"3431","Local environmentalempowerment management project",0,0,"Bauchi","Northeast",3685.260294,493810
"3432","Gyara healthpost dispensory",0,0,"Bauchi","Northeast",893.7797415,84215
"3433","Health post dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3434","Ward model primary health centre",1,0,"Bauchi","Northeast",893.7797415,84215
"3435","Gizaki Community primary healthcentre",0,0,"Bauchi","Northeast",893.7797415,84215
"3436","Boi.primary.health.centre",0,0,"Bauchi","Northeast",893.7797415,84215
"3437","Salama health post dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3439","Unguwanrimi P. H.C",0,0,"Bauchi","Northeast",893.7797415,84215
"3440","Kuulgha Health Clinic",0,0,"Bauchi","Northeast",893.7797415,84215
"3442","Health post dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3443","Kurum PHC",0,0,"Bauchi","Northeast",893.7797415,84215
"3444","Ginzum.health.clinic",0,0,"Bauchi","Northeast",893.7797415,84215
"3445","Dutsen.lawan.health.centre",0,0,"Bauchi","Northeast",893.7797415,84215
"3446","Unguwan Gyada Dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3447","Kykma",0,1,"Bauchi","Northeast",893.7797415,84215
"3448","Angunrimi heath clinic",0,0,"Bauchi","Northeast",893.7797415,84215
"3449","Health post dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3451","Gambazu.health.clinic",0,0,"Bauchi","Northeast",893.7797415,84215
"3452","Health post dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3453","Fahimta Clinic",0,0,"Bauchi","Northeast",893.7797415,84215
"3454","Primary health clinic",0,0,"Bauchi","Northeast",893.7797415,84215
"3455","Heath post dipensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3456","Health post dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3457","Maternity",0,0,"Bauchi","Northeast",893.7797415,84215
"3458","Tadnum mc",0,0,"Bauchi","Northeast",893.7797415,84215
"3459","Baram Dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3460","Dambar Com. H.C",0,0,"Bauchi","Northeast",893.7797415,84215
"3461","Health post Dispensary",0,0,"Bauchi","Northeast",893.7797415,84215
"3462","Cocin.primary.health.care",1,1,"Bauchi","Northeast",893.7797415,84215
"3463","Primaryhealthcare Tadnum",0,0,"Bauchi","Northeast",893.7797415,84215
"3464","Gizaki primary health climic",0,0,"Bauchi","Northeast",893.7797415,84215
"3465","General hospital",9,2,"Bauchi","Northeast",893.7797415,84215
"3466","LAGON WAHU DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3467","Tauya PHC",0,0,"Bauchi","Northeast",3012.367435,251597
"3468","PHC Sabon Garin papa",0,0,"Bauchi","Northeast",3012.367435,251597
"3469","GARIN LESA DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3470","S Garin Yautare Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3471","BAGUBA MATERNITY",0,0,"Bauchi","Northeast",3012.367435,251597
"3472","Gabchiyari Health Center",0,0,"Bauchi","Northeast",3012.367435,251597
"3473","Health Clinic",0,0,"Bauchi","Northeast",3012.367435,251597
"3474","KANYA DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3475","Duwo HC",0,0,"Bauchi","Northeast",3012.367435,251597
"3476","Dambaji Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3477","YUNBUNGA PRIMARY HEALTH CLINIC",0,0,"Bauchi","Northeast",3012.367435,251597
"3478","Aisha Isa yuguda U5 Clinic",0,1,"Bauchi","Northeast",3012.367435,251597
"3479","JIRO DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3480","Garin Abare HC",0,0,"Bauchi","Northeast",3012.367435,251597
"3481","Diggiri dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3482","Sade PHCentre",0,0,"Bauchi","Northeast",3012.367435,251597
"3483","Zoro Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3484","Kanya PHC",0,0,"Bauchi","Northeast",3012.367435,251597
"3485","Yautare HC",1,0,"Bauchi","Northeast",3012.367435,251597
"3486","Aliya Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3488","Kwarati Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3489","Gangalawai Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3490","Aisha isa uguda U/5 Clinic",0,0,"Bauchi","Northeast",3012.367435,251597
"3491","Mailafiya Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3492","Shadarki Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3493","Kari Health Clinic",0,0,"Bauchi","Northeast",3012.367435,251597
"3494","NAHUTAN SADE DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3495","Jimin Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3496","Yautare PHC",0,0,"Bauchi","Northeast",3012.367435,251597
"3497","Dayi dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3498","LEMARI MATERNITY",0,0,"Bauchi","Northeast",3012.367435,251597
"3499","Bula Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3500","MPHC Konkiyel",0,0,"Bauchi","Northeast",3012.367435,251597
"3501","ZANDAM DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3502","SABU MATERNITY",0,0,"Bauchi","Northeast",3012.367435,251597
"3503","Health Post kile",0,0,"Bauchi","Northeast",3012.367435,251597
"3504","Gangalawai Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3505","Gabarin HC",0,0,"Bauchi","Northeast",3012.367435,251597
"3506","Sabon Garin Papa Maternity",0,0,"Bauchi","Northeast",3012.367435,251597
"3507","Darazo health centre",0,0,"Bauchi","Northeast",3012.367435,251597
"3508","Sabon Garin Lanzai",0,0,"Bauchi","Northeast",3012.367435,251597
"3509","PHC Nahuta",0,0,"Bauchi","Northeast",3012.367435,251597
"3510","Bula Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3511","Ganjigina Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3512","TSAMIYA MATERNITY",0,0,"Bauchi","Northeast",3012.367435,251597
"3513","Lago HC",0,0,"Bauchi","Northeast",3012.367435,251597
"3514","Kawuri Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3515","MPHCC Papa",0,0,"Bauchi","Northeast",3012.367435,251597
"3516","PHC Konkiyel",0,0,"Bauchi","Northeast",3012.367435,251597
"3517","TSAMIYA HEALTH CLINIC",0,0,"Bauchi","Northeast",3012.367435,251597
"3518","Jimin Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3519","Wuro Dole Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3520","ZOBO H/CENTRE",0,0,"Bauchi","Northeast",3012.367435,251597
"3521","PRIMARY HEALTH CLINIC",0,0,"Bauchi","Northeast",3012.367435,251597
"3522","Yalwan Darazo HC",0,0,"Bauchi","Northeast",3012.367435,251597
"3523","Zoro Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3524","Indabo Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3526","DALAGOBE DISPENSARY",0,0,"Bauchi","Northeast",3012.367435,251597
"3527","Gakulan audi",1,0,"Bauchi","Northeast",3012.367435,251597
"3528","Darazo H clinic",0,0,"Bauchi","Northeast",3012.367435,251597
"3530","Kaugama Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3531","Kazuba Dispensary",0,0,"Bauchi","Northeast",3012.367435,251597
"3532","Badel maternity",0,0,"Bauchi","Northeast",534.8070758,89943
"3533","Garam Dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3534","Primary Health Clinic",1,3,"Bauchi","Northeast",534.8070758,89943
"3535","Gala Dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3536","Wandi MCH",0,0,"Bauchi","Northeast",534.8070758,89943
"3537","Zumbul Primary Health care",0,0,"Bauchi","Northeast",534.8070758,89943
"3538","Bashi health clinic",0,0,"Bauchi","Northeast",534.8070758,89943
"3539","Lukshi MCH",0,0,"Bauchi","Northeast",534.8070758,89943
"3540","POLCHI PHC",0,0,"Bauchi","Northeast",534.8070758,89943
"3541","Bagas Health Clinic",0,0,"Bauchi","Northeast",534.8070758,89943
"3542","Bundilin Kasa Dispensary.",0,0,"Bauchi","Northeast",534.8070758,89943
"3543","Bungas",0,1,"Bauchi","Northeast",534.8070758,89943
"3544","Bingim phc",0,0,"Bauchi","Northeast",534.8070758,89943
"3545","Nahuta dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3546","Baraza Primary Healthcare Center",0,0,"Bauchi","Northeast",534.8070758,89943
"3548","Dott PHC",0,1,"Bauchi","Northeast",534.8070758,89943
"3549","Gajuwal dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3551","Gwaltukurwa Dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3552","Lirr Maternity",0,0,"Bauchi","Northeast",534.8070758,89943
"3553","Gamki Dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3554","Tsohon Garin Lukshi H/ C",0,0,"Bauchi","Northeast",534.8070758,89943
"3555","Phc yalwa",0,0,"Bauchi","Northeast",534.8070758,89943
"3556","Shalgwantar dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3557","Dangri Dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3558","Maternity",0,0,"Bauchi","Northeast",534.8070758,89943
"3560","Zumbul Maternity",0,0,"Bauchi","Northeast",534.8070758,89943
"3561","Dabardak Cottage Maternity Clinic.",0,2,"Bauchi","Northeast",534.8070758,89943
"3562","Jalban Dispensiry",0,0,"Bauchi","Northeast",534.8070758,89943
"3563","Pegin Doka Primary Health Centre",0,0,"Bauchi","Northeast",534.8070758,89943
"3564","Kagadama Dispensary.",0,0,"Bauchi","Northeast",534.8070758,89943
"3565","Dumba Dispensary",0,0,"Bauchi","Northeast",534.8070758,89943
"3566","Dott Babba PHC",0,0,"Bauchi","Northeast",534.8070758,89943
"3567","Kudujariro despensary health center",0,0,"Bauchi","Northeast",2923.211458,286388
"3568","Gamawa town maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3569","GOLOLO DISPENSARY",0,0,"Bauchi","Northeast",2923.211458,286388
"3570","Sabon gari dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3571","Gatattara dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3572","Aido Dispensary RAGA",0,0,"Bauchi","Northeast",2923.211458,286388
"3573","Kafi romi dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3574","Bulanna Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3575","Jadori Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3576","GARIN JAURO SALEH DISPENSARY",0,0,"Bauchi","Northeast",2923.211458,286388
"3577","Raga maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3578","Kore dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3579","Gadiya Model Primary Health Centre",0,0,"Bauchi","Northeast",2923.211458,286388
"3580","Gwarbatu Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3581","Udubo maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3582","Dalmari Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3583","Garin Kure Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3584","Gubori Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3585","Supa Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3586","Tumbi despensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3587","GOLOLO PHC",0,0,"Bauchi","Northeast",2923.211458,286388
"3588","SANSAN DISPENSARY",0,0,"Bauchi","Northeast",2923.211458,286388
"3589","Bakori dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3590","GAMAWA MATERNITY",0,0,"Bauchi","Northeast",2923.211458,286388
"3591","Kubdiya maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3592","Gayawa Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3593","Gadiya Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3594","Jadori dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3595","Udubo dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3596","Kubdiya dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3597","Tarmasuwa Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3598","Zindiwa/Tarmasuwa",0,0,"Bauchi","Northeast",2923.211458,286388
"3599","Kadi Kadi Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3600","Kasuwa dole despensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3601","Raga dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3602","Primary health clinic",0,0,"Bauchi","Northeast",2923.211458,286388
"3603","GAMAWA GEN HOSPITAL",12,3,"Bauchi","Northeast",2923.211458,286388
"3604","GOLOLO MATERNITY",0,0,"Bauchi","Northeast",2923.211458,286388
"3605","Bundujaro Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3606","Wabu maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3607","Gangawa maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3608","Kafi romi maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3609","Yana ward",0,0,"Bauchi","Northeast",2923.211458,286388
"3610","Alagarno maternity",0,0,"Bauchi","Northeast",2923.211458,286388
"3611","Marana Health clinic",0,0,"Bauchi","Northeast",2923.211458,286388
"3612","Kesa Dispensary",0,0,"Bauchi","Northeast",2923.211458,286388
"3613","Alagaruno despensary health center",0,0,"Bauchi","Northeast",2923.211458,286388
"3614","Gidan waya Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3615","Yanda Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3616","Miya Healtclinic",0,0,"Bauchi","Northeast",5055.557976,280468
"3617","Maternity Ganjuwa",0,0,"Bauchi","Northeast",5055.557976,280468
"3618","K/madaki Health clini/maternity",0,0,"Bauchi","Northeast",5055.557976,280468
"3619","zuru health post",0,0,"Bauchi","Northeast",5055.557976,280468
"3620","MASUWA MATERNITY",0,0,"Bauchi","Northeast",5055.557976,280468
"3621","Takatabo Dispensiry",0,0,"Bauchi","Northeast",5055.557976,280468
"3622","Nabayi Maternity",0,0,"Bauchi","Northeast",5055.557976,280468
"3623","Ringim Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3624","Mango Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3625","General Hospital K/madaki",13,1,"Bauchi","Northeast",5055.557976,280468
"3626","Buriburi Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3627","Kubi Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3628","zida",0,0,"Bauchi","Northeast",5055.557976,280468
"3629","Dumun Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3630","Kediya Disp",0,0,"Bauchi","Northeast",5055.557976,280468
"3631","Kawurin Gasna Maternity",0,0,"Bauchi","Northeast",5055.557976,280468
"3632","Bunga Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3633","maternity",0,0,"Bauchi","Northeast",5055.557976,280468
"3634","Degele Despensary",1,0,"Bauchi","Northeast",5055.557976,280468
"3635","Lafiyari Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3636","Gungura Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3637","dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3638","digawan maigari",0,0,"Bauchi","Northeast",5055.557976,280468
"3639","Yaga Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3640","dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3641","Marbini Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3642","Matarnity",0,0,"Bauchi","Northeast",5055.557976,280468
"3643","Baya Health Post",0,0,"Bauchi","Northeast",5055.557976,280468
"3644","Dirya Dispensiry",0,0,"Bauchi","Northeast",5055.557976,280468
"3645","Yali Maternity",0,0,"Bauchi","Northeast",5055.557976,280468
"3646","DISPENSIRY",0,0,"Bauchi","Northeast",5055.557976,280468
"3647","Dodo Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3648","Model Primary health cilinic",0,0,"Bauchi","Northeast",5055.557976,280468
"3649","zalanga dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3650","Tsohuwar Kariya HC",0,0,"Bauchi","Northeast",5055.557976,280468
"3651","dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3652","Duma Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3653","Rudibida Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3654","Yalwan Gada Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3655","Hakatafi Maternity",0,0,"Bauchi","Northeast",5055.557976,280468
"3656","hakatafi dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3657","Nabayi Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3658","Shila Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3659","FIRO MATERNITY",0,0,"Bauchi","Northeast",5055.557976,280468
"3660","Primary heath clinic",1,0,"Bauchi","Northeast",5055.557976,280468
"3661","dispesary",0,0,"Bauchi","Northeast",5055.557976,280468
"3662","MASUWA DISPENSARY",0,0,"Bauchi","Northeast",5055.557976,280468
"3663","Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3664","Buzum Despensary",1,0,"Bauchi","Northeast",5055.557976,280468
"3665","wailo dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
"3666","Ruda yausa PHC",0,0,"Bauchi","Northeast",5055.557976,280468
"3667","Siri Babba Dispensary",0,0,"Bauchi","Northeast",5055.557976,280468
